name,lab,release_date,params,context_window,price_in,price_out,mmlu_pro,swe_bench,arena_elo,is_open,source_url,last_verified,metric_type,confidence,metric_notes
Claude Opus 4.8,Anthropic,2026-05-28,unknown,1000000,5,25,unknown,88.6,unknown,false,https://www.vals.ai/models/anthropic_claude-opus-4-8,2026-06-01,third_party,high,SWE-bench Verified from vals.ai independent bash-only harness; price+ctx from Anthropic docs
Claude Opus 4.7,Anthropic,2026-04-16,unknown,1000000,5,25,unknown,82.0,unknown,false,https://www.vals.ai/models/anthropic_claude-opus-4-7,2026-06-01,third_party,high,SWE-bench Verified from vals.ai; price+ctx from Anthropic docs
Claude Opus 4.6,Anthropic,unknown,unknown,1000000,5,25,unknown,78.2,unknown,false,https://www.vals.ai/models/anthropic_claude-opus-4-6-thinking,2026-06-01,third_party,medium,SWE-bench Verified from vals.ai (Thinking variant); price+ctx from Anthropic docs
Claude Opus 4.5,Anthropic,unknown,unknown,200000,5,25,89.5,76.4,unknown,false,https://www.vals.ai/models/anthropic_claude-opus-4-5-20251101-thinking,2026-06-01,third_party,medium,SWE from vals.ai (Thinking variant); mmlu_pro lab-reported (Artificial Analysis); price from Anthropic docs
Claude Sonnet 4.6,Anthropic,unknown,unknown,1000000,3,15,unknown,77.4,unknown,false,https://www.vals.ai/models/anthropic_claude-sonnet-4-6,2026-06-01,third_party,high,SWE-bench Verified from vals.ai; price+ctx from Anthropic docs
Claude Haiku 4.5,Anthropic,unknown,unknown,200000,1,5,unknown,66.6,unknown,false,https://www.vals.ai/models/anthropic_claude-haiku-4-5-20251001-thinking,2026-06-01,third_party,medium,SWE from vals.ai (Thinking variant); price from Anthropic docs
Claude Opus 4.1,Anthropic,unknown,unknown,200000,15,75,unknown,unknown,unknown,false,https://platform.claude.com/docs/en/about-claude/pricing,2026-06-01,third_party,low,not on vals.ai SWE-bench leaderboard - priced but not independently benchmarked; price from Anthropic docs
GPT-5.5,OpenAI,2026-04-23,unknown,1000000,5,30,unknown,82.6,unknown,false,https://www.vals.ai/models/openai_gpt-5.5,2026-06-01,third_party,high,SWE-bench Verified from vals.ai; price from developers.openai.com
GPT-5.4,OpenAI,2026-03-05,unknown,1000000,2.5,15,unknown,78.2,unknown,false,https://www.vals.ai/models/openai_gpt-5.4-2026-03-05,2026-06-01,third_party,high,SWE-bench Verified from vals.ai; price from developers.openai.com
Gemini 3.5 Flash,Google,2026-05-19,unknown,1000000,1.5,9,89.5,78.8,unknown,false,https://www.vals.ai/models/google_gemini-3.5-flash,2026-06-01,third_party,high,SWE-bench Verified + mmlu_pro from vals.ai; price <=200k tier from ai.google.dev
Gemini 3.1 Pro,Google,unknown,unknown,1000000,2,12,unknown,78.8,unknown,false,https://www.vals.ai/models/google_gemini-3.1-pro-preview,2026-06-01,third_party,medium,SWE-bench Verified from vals.ai; price <=200k tier from ai.google.dev
Grok 4.3,xAI,2026-04-30,unknown,1000000,1.25,2.5,unknown,71.4,unknown,false,https://www.vals.ai/models/grok_grok-4.3,2026-06-01,third_party,high,SWE-bench Verified from vals.ai; price from x.ai docs
DeepSeek-V4-Pro,DeepSeek,2026-04-23,unknown,1000000,0.435,0.87,87.5,77.4,unknown,true,https://www.vals.ai/models/deepseek_deepseek-v4-pro,2026-06-01,third_party,high,SWE-bench Verified from vals.ai (listed as DeepSeek V4); mmlu_pro lab-reported; price from api-docs.deepseek.com
DeepSeek-V4-Flash,DeepSeek,unknown,unknown,1000000,0.14,0.28,86.2,unknown,unknown,true,https://api-docs.deepseek.com/quick_start/pricing,2026-06-01,third_party,low,not separately on vals.ai (only DeepSeek V4 Pro tested) - priced but not independently benchmarked; price from DeepSeek docs
Qwen3.7 Max,Alibaba,2026-05-20,unknown,1000000,2.5,7.5,89.6,68.8,unknown,true,https://www.vals.ai/models/alibaba_qwen3.7-max,2026-06-01,third_party,high,SWE-bench Verified from vals.ai; mmlu_pro lab-reported; price from Alibaba Cloud official tier
GLM 5.1,Z.ai,2026-04-07,unknown,203000,0.98,3.08,unknown,76.4,unknown,true,https://www.vals.ai/models/zai_glm-5.1-thinking,2026-06-01,third_party,high,SWE-bench Verified from vals.ai (Thinking); price from z.ai docs
Kimi K2.6,Moonshot AI,2026-04-20,unknown,256000,0.95,4,unknown,76.2,unknown,true,https://www.vals.ai/models/kimi_kimi-k2.6-thinking,2026-06-01,third_party,high,SWE-bench Verified from vals.ai (Thinking); price from Moonshot official
